Area,Price
3750,1300000
0,1525000
1800,739500
1900,1625000
1750,1065000
1290,1500000
837,5700000
6843,12500000
1700,500000
675,850000
1058,1100000
1562,1152000
2836,2350000
6762,3330000
1295,1485000
581,560000
946,1005000
1275,1009000
1200,825000
1456,1110000
1512,1380000
2180,3450000
4065,572000
1310,985000
1730,1515000
1862,1275000
731,735000
1126,560000
450,500000
900,960000
615,575000
2025,1070000
2000,1838000
4537,2405000
950,925000
1200,490500
1116,675000
592,530000
1100,1030000
1800,1450000
1250,2075000
1203,1500000
775,801000
899,1180000
1754,1240000
2285,3300000
1313,1000000
1248,1150000
1150,1705000
2303,830000
1434,1365000
516,455000
1525,1150000
22146,1355000
5625,2800000
1410,1075000
1760,1900000
1004,1060000
1152,2300000
1215,1525000
2111,3300000
1461,3175000
572,663000
691,750000
1337,1010000
690,800000
1200,1150000
800,905000
1900,2500000
2223,2535000
860,680000
890,1342000
2668,2200000
1020,4850000
1438,900000
896,993000
575,475000
1868,540000
1156,1150000
1150,1280000
1510,1600000
1700,850000
1150,860000
1189,1250000
2120,2550000
3714,6500000
1362,1227000
2246,1510000
800,750000
1350,600000
1016,825000
1010,1100000
1600,1629000
3302,1080000
805,765000
867,1280000
1655,805000
948,860000
1114,975000
1115,1075000
1300,1250000
1000,663500
1518,895000
2300,800000
1451,1075000
1360,901000
1297,1300000
1190,756000
1387,1150000
2025,2100000
1562,1390000
1462,900000
1403,1275000
1257,1590000
1145,1090000
625,780000
1360,1005000
3092,1250000
1300,1250000
1700,2251500
1900,1380000
1457,1625000
1214,958000
1395,1380000
1030,1600000
2231,2565000
1080,750000
1515,482000
1175,745000
1075,1175000
307,415000
1065,977000
1935,2350000
750,617000
1328,800000
2210,1758000
1496,1135000
1387,1475000
1325,1510000
1578,271500
729,896500
2706,8100000
1031,1100000
1054,1550000
884,930000
1222,1305000
1225,2160000
1439,850000
980,1150000
1842,3000000
950,930000
2347,1550000
4197,3322500
1394,740000
1442,1775000
747,535000
862,850000
2469,2050000
3138,4500000
1200,1214000
2201,1808500
1482,705000
1280,1484500
1147,1302000
975,625000
1828,1950000
1074,1100000
1249,1320000
1314,1605000
1405,1660000
1220,1100000
1142,1100000
566,575000
1534,1425000
1197,1300000
1200,570000
1871,1160000
1359,950000
1115,1508000
750,912500
1590,1100000
1671,800000
1966,2350000
800,815000
1613,1025000
1260,1298000
1660,1700000
1150,1242000
1395,1300000
1656,1450000
2887,1680000
1888,1990000
1477,700000
517,720000
1046,1260000
1460,999000
1620,1450000
2030,2250000
1045,670000
1146,1430000
819,1050000
1670,3000000
660,851000
1488,1538500
450,1075000
1069,1427000
2103,2910000
1155,1680000
1325,950000
1831,1765000
1750,1990000
1750,3500000
1468,1171500
2868,2895000
1572,1650000
850,580000
1250,850000
700,680000
1127,1260000
1216,1068000
2049,1400000
1375,588000
1475,981000
1105,1185000
1019,1295000
644,760000
1054,950000
3460,106000
1434,955000
1168,987500
2032,1705000
862,750000
2129,2200000
1120,1290000
1807,1850000
2613,3800000
1375,1680000
2216,1725000
1959,1200000
1297,660000
1087,1060000
0,309000
835,820000
1040,800000
1288,1700000
5000,12000000
0,1350000
3116,4600000
1811,1800000
2197,2000000
1153,1200500
819,1025000
3208,1785000
1246,1325000
2174,2800000
2138,1199000
1512,1050000
2080,1350000
1239,1375000
3850,1100000
1809,1700000
1950,2800000
1200,630000
1562,1300000
1000,520000
936,880000
1222,6700000
1309,2338000
838,970000
1057,925000
1454,1140000
1210,1975000
875,3700000
2035,1410000
810,462000
1421,1140000
1421,1140000
1454,1140000
1421,1140000
1454,1140000
1400,2143500
6244,16760000
0,172500
958,835000
992,845000
0,864000
575,2675000
1253,2940000
863,895000
1145,1333000
765,825000
1699,1375000
954,585000
944,865000
963,900000
1151,1350000
1711,2625000
728,725000
110,2100000
732,825000
0,1125000
2166,1600000
2274,3600000
1623,910000
1350,1130000
4451,5627000
1449,1260000
983,1015000
1270,1572000
1650,1800000
1866,750000
650,810000
1175,1557000
1343,1600000
1828,850000
1389,1350000
2245,1602500
1490,800000
1525,1255000
1690,785000
983,1705000
925,615000
756,900000
2820,1950000
1610,810000
1461,1610000
1084,750000
1644,1400000
1450,1650000
1740,1725000
764,831000
1622,1725000
1137,991000
1970,3320000
1175,825000
860,910000
1095,575000
946,1001000
1255,1500000
2460,2500000
745,718000
816,730000
862,650000
3412,7000000
3632,6550000
1250,915000
3253,4950000
1000,800000
1000,995000
4030,1330000
3008,940000
1870,1805000
2480,2215000
2675,2701000
1274,1200000
1287,1130000
1100,795000
1267,840000
1088,950000
840,800000
793,790000
1948,2100000
1350,1416000
1672,1420000
2000,1885000
1542,1200000
2122,1480000
1862,1790000
3639,2050000
1778,1650000
2521,1889000
755,1200000
618,615000
1153,1540000
3100,1420000
0,1428000
1650,1725000
2750,375000
790,805000
1990,1910000
1642,1950000
2128,925000
436,625500
2005,1725000
821,780000
780,645000
1508,1455000
875,720000
1725,800000
1560,1525000
1555,1825000
2268,1335000
1240,1425000
0,1280000
1329,1540000
1084,730000
1344,1115000
1758,2400000
1688,928000
1745,1000000
1274,1000000
1688,2150000
718,575000
1844,1460000
1275,1200000
1565,1850000
1166,1375000
1175,1570000
1231,1305000
2668,1900000
1250,721000
980,810000
432,605000
668,799000
1297,1089000
831,730000
4798,11500000
846,980000
1016,1010000
1027,1150000
1373,1450000
3320,2300000
0,900000
1560,1340000
1240,2050000
825,725000
1578,1425000
1901,2610000
1832,1530000
2368,2859000
0,998000
0,1045000
1912,1500000
2460,1775000
2625,1925000
1350,1150000
3776,4400000
865,575000
1025,620000
715,680000
1204,780000
1626,900500
1521,1425000
2052,1500000
2214,2330000
3234,3400000
925,855000
0,1250000
626,750000
842,1005000
1250,421500
1034,815000
3330,1450000
1000,825000
1090,1300000
1415,2130000
1060,925000
1297,1340000
948,588000
1885,950000
1456,1100000
1465,1250000
775,1630000
2040,2225000
969,1650000
1791,3250000
538,715000
960,797500
1622,1800000
2434,2400000
2052,2650000
2233,1525000
1824,535000
1350,975000
1692,1425000
2500,2050000
3251,2246500
1375,1425000
2850,3600000
2400,1625000
2270,2850000
989,1075000
1019,940000
1238,1675000
1059,1498000
1572,2175000
0,775000
1231,1415000
0,1160000
2190,2615000
719,535000
2473,3900000
0,1320000
563,755000
943,920000
1362,1750000
1763,1770000
656,562500
936,950000
775,1100000
3070,1950000
1545,1300000
1275,1400000
697,975000
1458,1100000
1040,1505000
1784,2000000
3564,7050000
1272,890000
1606,950000
995,1000000
1606,1400000
2600,1600000
1692,1762000
2490,1918000
2270,1200000
2500,1480000
1883,2125000
1785,2500000
1902,2875000
862,650000
1779,1386000
1630,1410000
1340,1450000
1486,1900000
935,2895000
1063,529000
875,665000
1017,700000
933,890000
782,832500
1340,1136000
1554,1610000
870,1150000
1608,1430000
1754,1475000
2195,2380000
956,1180000
2059,1368000
657,785000
654,785000
903,788000
1961,3850000
812,716000
1096,830000
1436,1300000
1422,1100000
1236,1313000
1276,960000
1965,4500000
828,890000
1509,1057000
1525,1325000
1497,1052000
2640,2855000
1555,849000
950,615000
1173,1200000
1450,1380000
2104,950000
1348,980000
1438,1468000
1080,1965000
2077,2100000
1350,1090000
1253,1313000
2295,1500000
2805,3100000
0,1136500
1426,2001000
1286,1266000
682,575000
1540,1750000
1454,1808000
2293,3150000
1270,752000
1387,900000
960,1120000
1450,1275000
5700,1440000
1896,4000000
4340,3315000
1050,550000
1500,1875000
1305,2700000
1074,960000
